TIGR00001	50S ribosomal protein L35
TIGR03542	LL-diaminopimelate aminotransferase
TIGR03544	DivIVA domain-containing protein
TIGR03545	TIGR03545 family protein
TIGR03546	TIGR03546 family protein
TIGR03547	YjhT family mutarotase
TIGR03548	cyclically-permuted mutarotase family protein
TIGR03549	OsmC domain/YcaO domain-containing protein
TIGR03550	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG
TIGR03551	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofH
TIGR03552	2-phospho-L-lactate guanylyltransferase
TIGR03554	glucose-6-phosphate dehydrogenase (coenzyme-F420)
TIGR03555	5,10-methylenetetrahydromethanopterin reductase
TIGR03556	deoxyribodipyrimidine photo-lyase, 8-HDF type
TIGR03557	TIGR03557 family F420-dependent LLM class oxidoreductase
TIGR03558	MsnO8 family LLM class oxidoreductase
TIGR03559	LLM class F420-dependent oxidoreductase
TIGR03560	TIGR03560 family F420-dependent LLM class oxidoreductase
TIGR03561	Ohr family peroxiredoxin
TIGR03562	OsmC family peroxiredoxin
TIGR03563	SACOL1771 family peroxiredoxin
TIGR03564	TIGR03564 family F420-dependent LLM class oxidoreductase
TIGR03565	alkanesulfonate monooxygenase, FMNH(2)-dependent
TIGR03566	FMN reductase
TIGR03567	FMN reductase (NADPH)
TIGR03568	UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)
TIGR03569	N-acetylneuraminate synthase
TIGR03571	TIGR03571 family LLM class oxidoreductase
TIGR03572	glycosyl amidation-associated protein WbuZ
TIGR03573	N-acetyl sugar amidotransferase
TIGR03574	L-seryl-tRNA(Sec) kinase
TIGR03575	L-seryl-tRNA(Sec) kinase
TIGR03576	TIGR03576 family pyridoxal phosphate-dependent enzyme
TIGR03583	amidohydrolase/deacetylase family metallohydrolase
TIGR03584	pseudaminic acid cytidylyltransferase
TIGR03585	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
TIGR03586	pseudaminic acid synthase
TIGR03588	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
TIGR03589	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
TIGR03590	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
TIGR03591	polyribonucleotide nucleotidyltransferase
TIGR03592	membrane protein insertase YidC
TIGR03594	ribosome biogenesis GTPase Der
TIGR03596	ribosome biogenesis GTPase YlqF
TIGR03597	ribosome biogenesis GTPase YqeH
TIGR03598	ribosome biogenesis GTP-binding protein YsxC
TIGR03601	heterocycloanthracin/sonorensin family bacteriocin
TIGR03602	streptolysin S family bacteriocin
TIGR03605	SagB/ThcOx family dehydrogenase
TIGR03607	patatin-like protein
TIGR03609	polysaccharide pyruvyl transferase CsaB
TIGR03610	pyrimidine utilization protein C
TIGR03611	pyrimidine utilization protein D
TIGR03612	pyrimidine utilization protein A
TIGR03613	pyrimidine utilization regulatory protein R
TIGR03614	pyrimidine utilization protein B
TIGR03615	pyrimidine utilization flavin reductase protein F
TIGR03616	pyrimidine utilization transport protein G
TIGR03617	TIGR03617 family F420-dependent LLM class oxidoreductase
TIGR03618	TIGR03618 family F420-dependent PPOX class oxidoreductase
TIGR03619	TIGR03619 family F420-dependent LLM class oxidoreductase
TIGR03620	TIGR03620 family F420-dependent LLM class oxidoreductase
TIGR03621	TIGR03621 family F420-dependent LLM class oxidoreductase
TIGR03622	urea ABC transporter, permease protein UrtB
TIGR03625	50S ribosomal protein L3
TIGR03626	50S ribosomal protein L3
TIGR03627	30S ribosomal protein S9
TIGR03628	30S ribosomal protein S11
TIGR03629	30S ribosomal protein S13
TIGR03630	30S ribosomal protein S17
TIGR03631	30S ribosomal protein S13
TIGR03632	30S ribosomal protein S11
TIGR03633	archaeal proteasome endopeptidase complex subunit alpha
TIGR03634	archaeal proteasome endopeptidase complex subunit beta
TIGR03635	30S ribosomal protein S17
TIGR03636	50S ribosomal protein L23
TIGR03637	type I-F CRISPR-associated endonuclease Cas1
TIGR03638	type I-E CRISPR-associated endonuclease Cas1
TIGR03639	type II CRISPR-associated endonuclease Cas1
TIGR03640	type I-C CRISPR-associated endonuclease Cas1
TIGR03641	type I-B CRISPR-associated endonuclease Cas1
TIGR03642	CRISPR-associated protein Csx14
TIGR03643	TIGR03643 family protein
TIGR03645	lactoylglutathione lyase family protein
TIGR03646	YtoQ family protein
TIGR03649	ergot alkaloid biosynthesis protein
TIGR03650	violacein biosynthesis enzyme VioE
TIGR03651	circular bacteriocin, circularin A/uberolysin family
TIGR03652	iron-sulfur cluster repair di-iron protein
TIGR03653	50S ribosomal protein L6
TIGR03654	50S ribosomal protein L6
TIGR03655	restriction alleviation protein, Lar family
TIGR03656	heme uptake protein IsdC
TIGR03657	heme uptake protein IsdB
TIGR03658	haptoglobin-binding heme uptake protein HarA
TIGR03659	heme ABC transporter substrate-binding protein IsdE
TIGR03661	type I secretion C-terminal target domain-containing protein
TIGR03663	TIGR03663 family protein
TIGR03664	futalosine hydrolase
TIGR03666	PPOX class F420-dependent oxidoreductase
TIGR03667	TIGR03667 family PPOX class F420-dependent oxidoreductase
TIGR03668	TIGR03668 family PPOX class F420-dependent oxidoreductase
TIGR03669	urea ABC transporter substrate-binding protein
TIGR03670	DNA-directed RNA polymerase subunit B
TIGR03671	CCA tRNA nucleotidyltransferase
TIGR03672	50S ribosomal protein L4
TIGR03673	50S ribosomal protein L14
TIGR03674	flap endonuclease-1
TIGR03675	beta-CASP ribonuclease aCPSF1
TIGR03676	peptide chain release factor 1
TIGR03677	50S ribosomal protein L7Ae
TIGR03678	microcyclamide/patellamide family RiPP
TIGR03680	translation initiation factor IF-2 subunit gamma
TIGR03682	diphthamide biosynthesis enzyme Dph2
TIGR03683	alanine--tRNA ligase
TIGR03685	50S ribosomal protein P1
TIGR03686	Pup--protein ligase
TIGR03687	ubiquitin-like protein Pup
TIGR03688	proteasome accessory factor PafA2
TIGR03689	proteasome ATPase
TIGR03690	proteasome subunit beta
TIGR03691	proteasome subunit alpha
TIGR03692	HslU--HslV peptidase proteolytic subunit
TIGR03693	putative thiazole-containing bacteriocin maturation protein
TIGR03694	PEP-CTERM/exosortase system-associated acyltransferase
TIGR03695	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
TIGR03697	global nitrogen regulator NtcA
TIGR03698	clan AA aspartic protease
TIGR03699	dehypoxanthine futalosine cyclase
TIGR03700	aminofutalosine synthase MqnE
TIGR03701	menaquinone biosynthesis decarboxylase
TIGR03702	lipid kinase YegS
TIGR03703	glycerol-3-phosphate 1-O-acyltransferase
TIGR03704	putative protein N(5)-glutamine methyltransferase
TIGR03705	polyphosphate kinase 1
TIGR03706	exopolyphosphatase
TIGR03707	polyphosphate kinase 2
TIGR03708	polyphosphate:AMP phosphotransferase
TIGR03710	2-oxoacid:acceptor oxidoreductase subunit alpha
TIGR03711	accessory Sec system protein Asp3
TIGR03712	accessory Sec system protein Asp2
TIGR03713	accessory Sec system protein Asp1
TIGR03714	accessory Sec system translocase SecA2
TIGR03718	TerC/Alx family metal homeostasis membrane protein
TIGR03719	energy-dependent translational throttle protein EttA
TIGR03720	exosporium leader peptide-containing protein
TIGR03722	N(6)-L-threonylcarbamoyladenine synthase Kae1
TIGR03723	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
TIGR03724	Kae1-associated serine/threonine protein kinase
TIGR03725	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
TIGR03727	urea ABC transporter, permease protein UrtC
TIGR03728	SP_1767 family glycosyltransferase
TIGR03730	tungstate ABC transporter substrate-binding protein WtpA
TIGR03731	gallidermin/nisin family lantibiotic
TIGR03732	lantibiotic immunity ABC transporter MutE/EpiE family permease subunit
TIGR03733	lantibiotic immunity ABC transporter MutG family permease subunit
TIGR03734	PRTRC system ParB family protein
TIGR03735	PRTRC system protein A
TIGR03736	PRTRC system ThiF family protein
TIGR03737	PRTRC system protein B
TIGR03738	PRTRC system protein C
TIGR03739	PRTRC system protein D
TIGR03740	lantibiotic protection ABC transporter ATP-binding subunit
TIGR03741	PRTRC system protein E
TIGR03742	PRTRC system protein F
TIGR03744	conjugative transfer ATPase
TIGR03745	TIGR03745 family integrating conjugative element membrane protein
TIGR03746	TIGR03746 family integrating conjugative element protein
TIGR03747	TIGR03747 family integrating conjugative element membrane protein
TIGR03749	TIGR03749 family integrating conjugative element protein
TIGR03750	TIGR03750 family conjugal transfer protein
TIGR03751	TIGR03751 family conjugal transfer lipoprotein
TIGR03752	TIGR03752 family integrating conjugative element protein
TIGR03754	type IV conjugative transfer system coupling protein TraD
TIGR03755	integrating conjugative element protein
TIGR03756	TIGR03756 family integrating conjugative element protein
TIGR03757	TIGR03757 family integrating conjugative element protein
TIGR03758	TIGR03758 family integrating conjugative element protein
TIGR03759	TIGR03759 family integrating conjugative element protein
TIGR03761	TIGR03761 family integrating conjugative element protein
TIGR03762	archaeosortase C
TIGR03763	cyanoexosortase A
TIGR03765	integrating conjugative element protein
TIGR03767	TIGR03767 family metallophosphoesterase
TIGR03768	TIGR03768 family metallophosphoesterase
TIGR03770	anchored repeat-type ABC transporter permease subunit
TIGR03771	anchored repeat-type ABC transporter ATP-binding subunit
TIGR03772	anchored repeat ABC transporter, substrate-binding protein
TIGR03774	palindromic element RPE2 domain-containing protein
TIGR03775	palindromic element RPE3 domain-containing protein
TIGR03776	palindromic element RPE5 domain-containing protein
TIGR03777	palindromic element RPE4 domain-containing protein
TIGR03778	VPDSG-CTERM sorting domain-containing protein
TIGR03779	conjugative transposon protein TraM
TIGR03780	conjugative transposon protein TraN
TIGR03781	conjugative transposon protein TraK
TIGR03782	conjugative transposon protein TraJ
TIGR03783	TraG family conjugative transposon ATPase
TIGR03784	class GN sortase
TIGR03785	proteobacterial dedicated sortase system histidine kinase
TIGR03787	proteobacterial dedicated sortase system response regulator
TIGR03788	marine proteobacterial sortase target protein
TIGR03789	sortase-associated OmpA-like protein PdsO
TIGR03790	TIGR03790 family protein
TIGR03791	tryptophan tryptophylquinone biosynthesis enzyme MauG
TIGR03792	TIGR03792 family protein
TIGR03793	NHLP leader peptide family natural product precursor
TIGR03794	NHLP bacteriocin system secretion protein
TIGR03796	NHLP family bacteriocin export ABC transporter peptidase/permease/ATPase subunit
TIGR03797	NHLP bacteriocin export ABC transporter permease/ATPase subunit
TIGR03798	Nif11-like leader peptide family natural product precursor
TIGR03799	putative pyridoxal-dependent aspartate 1-decarboxylase
TIGR03800	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
TIGR03801	aspartate 4-decarboxylase
TIGR03802	aspartate-alanine antiporter
TIGR03808	TIGR03808 family TAT-translocated repetitive protein
TIGR03809	TIGR03809 family protein
TIGR03810	arginine-ornithine antiporter
TIGR03811	tyrosine decarboxylase
TIGR03812	tyrosine decarboxylase MfnA
TIGR03814	glutaminase A
TIGR03818	flagellar motor stator protein MotA
TIGR03819	TadA family conjugal transfer-associated ATPase
TIGR03820	lysine 2,3-aminomutase
TIGR03821	EF-P beta-lysylation protein EpmB
TIGR03822	lysine-2,3-aminomutase-like protein
TIGR03823	flagellar regulatory protein FliZ
TIGR03824	flagellar biosynthesis anti-sigma factor FlgM
TIGR03825	flagellar assembly protein FliH
TIGR03827	putative beta-lysine N-acetyltransferase
TIGR03828	1-phosphofructokinase
TIGR03829	YokU family protein
TIGR03831	YgiT-type zinc finger protein
TIGR03832	tyrosine 2,3-aminomutase
TIGR03833	YwbE family protein
TIGR03834	EAGR box-containing protein
TIGR03835	terminal organelle assembly protein TopJ
TIGR03837	elongation factor P maturation arginine rhamnosyltransferase EarP
TIGR03838	tRNA glutamyl-Q(34) synthetase GluQRS
TIGR03839	adhesin P1
TIGR03840	thiopurine S-methyltransferase
TIGR03841	LLM class F420-dependent oxidoreductase
TIGR03842	TIGR03842 family LLM class F420-dependent oxidoreductase
TIGR03843	SCO1664 family protein
TIGR03844	cysteate synthase
TIGR03845	sulfopyruvate decarboxylase subunit alpha
TIGR03846	sulfopyruvate decarboxylase subunit beta
TIGR03848	MSMEG_4193 family putative phosphomutase
TIGR03849	phosphosulfolactate synthase
TIGR03850	carbohydrate ABC transporter substrate-binding protein
TIGR03851	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein
TIGR03852	sucrose phosphorylase
TIGR03854	TIGR03854 family LLM class F420-dependent oxidoreductase
TIGR03855	aspartate dehydrogenase
TIGR03856	LLM class F420-dependent oxidoreductase
TIGR03857	TIGR03857 family LLM class F420-dependent oxidoreductase
TIGR03859	pyrroloquinoline quinone biosynthesis peptide chaperone PqqD
TIGR03862	TIGR03862 family flavoprotein
TIGR03867	MprA protease, GlyGly-CTERM protein-sorting domain-containing form
TIGR03868	putative F420-0 ABC transporter substrate-binding protein
TIGR03870	methanol oxidation system protein MoxJ
TIGR03871	quinoprotein dehydrogenase-associated putative ABC transporter substrate-binding protein
TIGR03872	cytochrome c(L), periplasmic
TIGR03874	c-type cytochrome, methanol metabolism-related
TIGR03875	RNA ligase partner protein
TIGR03876	type I-A CRISPR-associated protein CsaX
TIGR03877	KaiC domain-containing protein
TIGR03878	KaiC domain-containing protein
TIGR03880	KaiC domain-containing protein
TIGR03881	KaiC domain-containing protein
TIGR03884	selenium-binding protein
TIGR03886	spore photoproduct lyase family protein
TIGR03887	thiocyanate hydrolase subunit gamma
TIGR03888	nitrile hydratase subunit beta
TIGR03889	nitrile hydratase accessory protein
TIGR03890	Nif11 domain/cupin domain-containing protein
TIGR03892	thiazolylpeptide-type bacteriocin
TIGR03893	type 2 lantibiotic
TIGR03894	TIGR03894 family protein
TIGR03895	PatA/PatG family cyanobactin maturation protease
TIGR03897	type 2 lantipeptide synthetase LanM
TIGR03898	mersacidin/lichenicidin family type 2 lantibiotic
TIGR03899	TIGR03899 family protein
TIGR03901	MYXO-CTERM sorting domain-containing protein
TIGR03902	rhombosortase
TIGR03903	TOMM system kinase/cyclase fusion protein
TIGR03904	YgiQ family radical SAM protein
TIGR03905	TIGR03905 family TSCPD domain-containing protein
TIGR03906	quinohemoprotein amine dehydrogenase maturation protein
TIGR03907	quinohemoprotein amine dehydrogenase subunit beta
TIGR03908	quinohemoprotein amine dehydrogenase subunit alpha
TIGR03909	3-methylornithine--L-lysine ligase PylC
TIGR03910	methylornithine synthase PylB
TIGR03911	3-methylornithyl-N6-L-lysine dehydrogenase PylD
TIGR03913	GDL motif peptide-associated radical SAM/SPASM maturase
TIGR03916	putative DNA modification/repair radical SAM protein
TIGR03918	[FeFe] hydrogenase H-cluster maturation GTPase HydF
TIGR03919	type VII secretion protein EccB
TIGR03920	type VII secretion integral membrane protein EccD
TIGR03921	type VII secretion-associated serine protease mycosin
TIGR03922	type VII secretion AAA-ATPase EccA
TIGR03923	type VII secretion protein EccE
TIGR03924	type VII secretion protein EccCa
TIGR03925	type VII secretion protein EccCb
TIGR03926	type VII secretion protein EssB
TIGR03927	type VII secretion protein EssA
TIGR03928	type VII secretion protein EssC
TIGR03929	type VII secretion protein EsaA
TIGR03930	WXG100 family type VII secretion target
TIGR03931	type VII secretion-associated protein
TIGR03932	intracellular adhesion protein D
TIGR03933	intercellular adhesin biosynthesis polysaccharide N-deacetylase
TIGR03934	TQXA domain-containing protein
TIGR03935	fragilysin family metalloproteinase
TIGR03937	poly-beta-1,6 N-acetyl-D-glucosamine synthase
TIGR03938	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB
TIGR03939	poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA
TIGR03940	poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD
TIGR03942	anaerobic sulfatase maturase
TIGR03943	TIGR03943 family protein
TIGR03944	2,3-diaminopropionate biosynthesis protein SbnB
TIGR03945	2,3-diaminopropionate biosynthesis protein SbnA
TIGR03946	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent
TIGR03947	capreomycidine synthase
TIGR03948	butyryl-CoA:acetate CoA-transferase
TIGR03949	class IIb bacteriocin, lactobin A/cerein 7B family
TIGR03950	siderophore ferric iron reductase
TIGR03951	siderophore-iron reductase FhuF
TIGR03952	zinc-dependent metalloproteinase lipoprotein
TIGR03953	50S ribosomal protein L4
TIGR03955	[FeFe] hydrogenase H-cluster radical SAM maturase HydG
TIGR03956	[FeFe] hydrogenase H-cluster radical SAM maturase HydE
TIGR03957	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdB
TIGR03958	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdC
TIGR03960	TIGR03960 family B12-binding radical SAM protein
TIGR03961	PTO1314 family radical SAM protein
TIGR03962	mycofactocin radical SAM maturase
TIGR03963	putative 7-carboxy-7-deazaguanine synthase QueE
TIGR03964	mycofactocin biosynthesis peptidyl-dipeptidase MftE
TIGR03965	mycofactocin system glycosyltransferase
TIGR03966	mycofactocin system-associated heme/flavin dehydrogenase
TIGR03967	mycofactocin biosynthesis chaperone MftB
TIGR03968	mycofactocin system transcriptional regulator
TIGR03969	mycofactocin precursor
TIGR03970	mycofactocin system GMC family oxidoreductase MftG
TIGR03971	SDR family mycofactocin-dependent oxidoreductase
TIGR03972	4-demethylwyosine synthase TYW1
TIGR03973	six-cysteine peptide SCIFF
TIGR03974	thioether cross-link-forming SCIFF peptide maturase
TIGR03975	RiPP maturation radical SAM protein 1
TIGR03976	His-Xaa-Ser system protein HxsD
TIGR03977	His-Xaa-Ser system radical SAM maturase HxsC
TIGR03978	His-Xaa-Ser system radical SAM maturase HxsB
TIGR03979	His-Xaa-Ser repeat protein HxsA
TIGR03982	TIGR03982 family His-Xaa-Ser system protein
TIGR03983	type I-MYXAN CRISPR-associated endonuclease Cas1
TIGR03984	TIGR03984 family CRISPR-associated protein
TIGR03985	TIGR03985 family CRISPR-associated protein
TIGR03986	TIGR03986 family CRISPR-associated RAMP protein
TIGR03987	TIGR03987 family protein
TIGR03988	mycothiol system anti-sigma-R factor
TIGR03989	NDMA-dependent alcohol dehydrogenase
TIGR03990	phosphoglucosamine mutase
TIGR03994	coproporphyrinogen dehydrogenase HemZ
TIGR03995	CGCGG family rSAM-modified RiPP protein
TIGR03996	mycofactocin system FadH/OYE family oxidoreductase 1
TIGR03997	mycofactocin system FadH/OYE family oxidoreductase 2
TIGR03998	bacillithiol biosynthesis cysteine-adding enzyme BshC
TIGR03999	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA
TIGR04000	bacillithiol biosynthesis deacetylase BshB2
TIGR04001	bacillithiol biosynthesis deacetylase BshB1
TIGR04002	TIGR04002 family protein
TIGR04003	[benzylsuccinate synthase]-activating enzyme
TIGR04004	colanic acid biosynthesis protein WcaM
TIGR04005	colanic acid biosynthesis glycosyltransferase WcaL
TIGR04006	colanic acid biosynthesis pyruvyl transferase WcaK
TIGR04007	colanic acid biosynthesis glycosyltransferase WcaI
TIGR04008	colanic acid biosynthesis acetyltransferase WcaF
TIGR04009	colanic acid biosynthesis glycosyltransferase WcaE
TIGR04010	putative colanic acid polymerase WcaD
TIGR04011	poly-gamma-glutamate biosynthesis protein PgsC
TIGR04012	poly-gamma-glutamate synthase PgsB
TIGR04013	TIGR04013 family B12-binding domain/radical SAM domain-containing protein
TIGR04014	TIGR04014 family B12-binding domain/radical SAM domain-containing protein
TIGR04015	colanic acid biosynthesis glycosyltransferase WcaC
TIGR04016	colanic acid biosynthesis acetyltransferase WcaB
TIGR04017	colanic acid biosynthesis glycosyltransferase WcaA
TIGR04018	YpdA family putative bacillithiol disulfide reductase
TIGR04019	bacillithiol system redox-active protein YtxJ
TIGR04021	dimethyl sulfone monooxygenase SfnG
TIGR04022	SfnB family sulfur acquisition oxidoreductase
TIGR04023	PPOX class F420-dependent oxidoreductase
TIGR04024	TIGR04024 family LLM class F420-dependent oxidoreductase
TIGR04027	putative FMN-dependent luciferase-like monooxygenase
TIGR04028	TIGR04028 family ABC transporter substrate-binding protein
TIGR04029	CMD domain protein
TIGR04030	alkylhydroperoxidase domain protein
TIGR04031	rSAM-partnered protein
TIGR04032	sporulation delaying protein family toxin
TIGR04034	SdpA family antimicrobial peptide system protein
TIGR04039	di-heme enzyme
TIGR04040	YjjI family glycine radical enzyme
TIGR04041	YjjW family glycine radical enzyme activase
TIGR04042	MSMEG_0570 family nitrogen starvation response protein
TIGR04043	MSMEG_0568 family radical SAM protein
TIGR04044	MSMEG_0572 family nitrogen starvation response protein
TIGR04046	MSMEG_0569 family flavin-dependent oxidoreductase
TIGR04047	MSMEG_0565 family glycosyltransferase
TIGR04048	Nit6803 family nitriliase
TIGR04049	sll0787 family AIR synthase-like protein
TIGR04051	heme d1 biosynthesis radical SAM protein NirJ
TIGR04052	metallo-mystery pair system four-Cys motif protein
TIGR04053	TIGR04053 family radical SAM/SPASM domain-containing protein
TIGR04054	putative heme d1 biosynthesis radical SAM protein NirJ1
TIGR04055	putative heme d1 biosynthesis radical SAM protein NirJ2
TIGR04056	SusC/RagA family TonB-linked outer membrane protein
TIGR04058	long-chain acyl-[acyl-carrier-protein] reductase
TIGR04059	aldehyde oxygenase (deformylating)
TIGR04060	formate transporter FocA
TIGR04061	putative natural product biosynthesis protein
TIGR04062	DNA phosphorothioation-associated protein 4
TIGR04063	glycosyltransferase, exosortase A system-associated
TIGR04064	nif11-like peptide radical SAM maturase
TIGR04065	putative bacteriocin precursor
TIGR04066	TIGR04066 family peptide maturation system protein
TIGR04067	putative bacteriocin precursor
TIGR04068	Cys-rich peptide radical SAM maturase CcpM
TIGR04069	peptide maturation system acyl carrier-related protein
TIGR04070	spore photoproduct lyase
TIGR04071	methanobactin
TIGR04072	lipid biosynthesis B12-binding/radical SAM protein
TIGR04073	exosortase system-associated protein, TIGR04073 family
TIGR04074	3' terminal RNA ribose 2'-O-methyltransferase Hen1
TIGR04075	polynucleotide kinase-phosphatase
TIGR04076	TIGR04076 family protein
TIGR04077	YydF family exported signaling peptide
TIGR04078	YydG family peptide radical SAM peptide maturase
TIGR04079	KxxxW-cyclized peptide pheromone
TIGR04080	KxxxW cyclic peptide radical SAM maturase
TIGR04081	selenobiotic family radical SAM modification target peptide
TIGR04082	selenobiotic family peptide radical SAM maturase
TIGR04083	TIGR04083 family peptide-modifying radical SAM enzyme
TIGR04084	TIGR04084 family radical SAM/SPASM domain-containing protein
TIGR04085	SPASM domain-containing protein
TIGR04086	TIGR04086 family membrane protein
TIGR04087	amyloid fiber anchoring/assembly protein TapA
TIGR04089	alternate-type signal peptide domain-containing protein
TIGR04091	D-alanyl-lipoteichoic acid biosynthesis protein DltB
TIGR04092	D-alanyl-lipoteichoic acid biosynthesis protein DltD
TIGR04093	type I-D CRISPR-associated endonuclease Cas1
TIGR04094	YSIRK-targeted surface antigen transcriptional regulator
TIGR04095	DNA phosphorothioation system restriction enzyme
TIGR04096	DNA phosphorothioation-associated putative methyltransferase
TIGR04100	TIGR04100 family radical SAM protein
TIGR04101	CCGSCS motif protein
TIGR04103	nif11-class peptide radical SAM maturase 3
TIGR04106	type I-U CRISPR-associated protein Cas8c
TIGR04107	heme anaerobic degradation radical SAM methyltransferase ChuW/HutW
TIGR04108	heme utilization cystosolic carrier protein HutX
TIGR04109	HugZ family heme oxygenase
TIGR04110	heme utilization protein HutZ
TIGR04112	YedE-related selenium metabolism membrane protein
TIGR04113	type I-U CRISPR-associated protein Csx17
TIGR04115	radical SAM peptide maturase, CXXX-repeat target family
TIGR04116	CXXX repeat peptide modification system protein
TIGR04117	Cys-Xaa-Xaa-Xaa repeat radical SAM target protein
TIGR04118	Cys-rich RiPP precursor
TIGR04119	CXXX repeat peptide maturase
TIGR04120	cisplatin damage response ATP-dependent DNA ligase
TIGR04121	ligase-associated DNA damage response DEXH box helicase
TIGR04122	ligase-associated DNA damage response exonuclease
TIGR04123	ligase-associated DNA damage response endonuclease PdeM
TIGR04124	archaeosortase family protein ArtE
TIGR04125	archaeosortase A
TIGR04126	PGF-CTERM sorting domain-containing protein
TIGR04127	exosortase F system-associated protein
TIGR04128	exosortase family protein XrtF
TIGR04129	CxxH/CxxC protein
TIGR04130	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase
TIGR04132	putative folate metabolism gamma-glutamate ligase
TIGR04135	FibroRumin family radical SAM-modified Cys-rich RiPP
TIGR04136	FibroRumin system radical SAM peptide maturase
TIGR04137	small basic protein
TIGR04139	TIGR04139 family peptide modification target
TIGR04140	TIGR04140 family protein
TIGR04142	putative peptidyl-prolyl cis-trans isomerase
TIGR04143	VPXXXP-CTERM sorting domain-containing protein
TIGR04144	archaeosortase B
TIGR04145	Firmicu-CTERM sorting domain-containing protein
TIGR04146	phosphoglycerol geranylgeranyltransferase
TIGR04147	putative phosphoglycerol geranylgeranyltransferase
TIGR04148	radical SAM peptide maturase
TIGR04149	rSAM-modified peptide
TIGR04150	TIGR04150 pseudo-rSAM protein
TIGR04151	VPDSG-CTERM-specific exosortase XrtC
TIGR04152	VPLPA-CTERM-specific exosortase XrtD
TIGR04153	cyanoexosortase A system-associated protein
TIGR04154	oligosaccharyl transferase, archaeosortase A system-associated
TIGR04155	PEP-CTERM sorting domain-containing protein
TIGR04156	cyanoexosortase B
TIGR04157	TIGR04157 family glycosyltransferase
TIGR04158	3-methyl-2-indolic acid synthase
TIGR04159	methanobactin biosynthesis cassette protein MbnB
TIGR04160	methanobactin biosynthesis cassette protein MbnC
TIGR04161	VPEID-CTERM sorting domain-containing protein
TIGR04162	exosortase E/protease, VPEID-CTERM system
TIGR04163	peptide-modifying radical SAM enzyme CbpB
TIGR04164	modified peptide precursor CbpA
TIGR04165	TIGR04165 family Cys-rich peptide
TIGR04166	tetrahydromethanopterin S-methyltransferase subunit B
TIGR04167	radical SAM/Cys-rich domain protein
TIGR04168	TIGR04168 family protein
TIGR04170	class 1b ribonucleoside-diphosphate reductase subunit alpha
TIGR04171	class 1b ribonucleoside-diphosphate reductase subunit beta
TIGR04173	PIP-CTERM sorting domain-containing protein
TIGR04174	IPTL-CTERM sorting domain-containing protein
TIGR04175	archaeosortase D
TIGR04176	MarR family EPS-associated transcriptional regulator
TIGR04177	exosortase H
TIGR04178	exosortase/archaeosortase family protein
TIGR04179	rhombotarget lipoprotein
TIGR04181	LegC family aminotransferase
TIGR04182	S-layer glycoprotein N-glycosyltransferase AglJ
TIGR04183	T9SS C-terminal target domain-containing protein
TIGR04184	MvdD family ATP-grasp ribosomal peptide maturase
TIGR04185	MvdC family ATP-grasp ribosomal peptide maturase
TIGR04186	putative ATP-grasp-modified RiPP
TIGR04187	ATP-grasp ribosomal peptide maturase
TIGR04189	cell surface protein SprA
TIGR04190	TIGR04190 family B12-binding domain/radical SAM domain protein
TIGR04191	BrxA/BrxB family bacilliredoxin
TIGR04192	grasp-with-spasm system ATP-grasp peptide maturase
TIGR04193	grasp-with-spasm system SPASM domain peptide maturase
TIGR04194	grasp-with-spasm system A modified peptide
TIGR04195	SunS family peptide S-glycosyltransferase
TIGR04196	sublancin family glycopeptide
TIGR04197	TIGR04197 family type VII secretion effector
TIGR04198	mRNA capping enzyme
TIGR04199	exosortase J
TIGR04201	Cys-rich repeat-containing protein
TIGR04204	MAST domain-containing protein
TIGR04205	class III signal peptide domain-containing protein, archaeosortase D/PIP-CTERM system-associated
TIGR04206	TIGR04206 family protein
TIGR04209	sarcinarray family MAST domain-containing protein
TIGR04211	TIGR04211 family SH3 domain-containing protein
TIGR04212	rhombotarget A
TIGR04213	PGF-pre-PGF domain-containing protein
TIGR04214	CSLREA domain-containing protein
TIGR04215	choice-of-anchor A family protein
TIGR04216	major cell surface glycoprotein
TIGR04217	archaetidylserine synthase
TIGR04218	plantazolicin family RiPP
